ID,Height,Radius,HtRa,diameter,area,volume,para_coeff,surface_area,arc_length
NSL22893,15.8222,-0.5929,0.1346,-1.1858,1341.93,65774,0.00042,3514.08,28.672
NSL22894,-8.1268,-5.1851,0.01621,-10.3702,-2030,-286828,0.000309,-7231.49,-22.3486
NSL242484,13.2971,3.8123,0.06813,7.6247,1849.38,185357,0.000039,6369.77,30.9416
NSL243016,22.4926,5.4103,0.05655,10.8205,4210.66,494337,-0.00005,13619,52.5172
NSL28966,-24.0063,-2.1089,-0.178,-4.2178,-3062.19,-324176,-0.00053,-9246.49,-46.3085
NSL30038,14.3076,-3.3417,0.1959,-6.6833,650.61,-29075,0.000851,867.87,21.0654
NSL30053,0.9661,4.8489,-0.05177,9.6978,1306.11,272994,-0.00029,5307.09,8.2953
NSL30867,-19.1963,-5.0701,-0.09481,-10.1403,-3055.13,-365456,-0.00012,-10099,-42.2863
NSL30894,-17.8126,3.5838,-0.1987,7.1676,-1489.82,-111785,-0.00083,-3253.76,-26.5981
NSL30904,5.4278,7.2911,-0.06653,14.5823,1876.98,273222,-0.00063,7078.89,19.0933
NSL53083,-6.5809,-5.1702,0.02017,-10.3405,-1731.87,-237597,0.000275,-6488.08,-21.0325
NSL53094,-22.1286,-4.6326,-0.1309,-9.2652,-3171.65,-354348,-0.00018,-10079,-45.8445
NSL65865,-20.6163,-5.9676,-0.086,-11.9351,-3320.77,-384517,-0.00005,-11208,-48.1617
NSL65871,-8.5221,-1.0163,-0.06395,-2.0326,-1244.69,-158371,-0.00023,-4005.55,-17.4582
NSL65873,1.9565,-8.1911,0.1667,-16.3821,-1544.33,-279668,0.001073,-6570.67,-8.4256
NSL65874,13.1027,0.1557,0.1088,0.3115,1274.66,79108,0.000263,3408.12,23.2294
NSL75979,6.6796,-0.4407,0.05337,-0.8814,570.99,22387,0.000146,1293.22,10.9346
NSL81599,20.7776,1.3058,0.1743,2.6117,2273.01,194637,0.000505,6698.47,39.3483
PI257507,63.8673,15.8348,0.2592,31.6696,11426,1510382,-0.00003,37156,138.18
PI406112,-12.7414,-3.6039,-0.03841,-7.2077,-2387.68,-293186,-0.00002,-8108.11,-31.4733
PI506246,18.9638,8.0387,0.03277,16.0774,3805.79,501782,-0.00028,12973,45.5528
PI506247,-6.0618,-6.8783,0.05917,-13.7566,-2202.08,-324478,0.000494,-8277.63,-22.0924
PI506248,16.9733,7.1801,0.02005,14.3602,3535.93,454262,-0.00024,11995,41.6713
PI506253,-24.6694,9.0281,-0.3211,18.0561,-1543.27,-45265,-0.00142,-1452.51,-28.8188
PI506255,0.7361,0.8116,-0.00913,1.6231,186.28,10321,-0.00008,599.46,2.2113
PI517974,-3.2937,-1.5555,-0.00104,-3.1109,-776.99,-109014,0.000056,-2777.28,-9.1988
PI520774,-25.3768,-8.2707,-0.1121,-16.5415,-3985.18,-459771,0.000075,-13325,-56.9655
PI524969,4.8531,1.0222,0.02005,2.0443,564.74,31725,-0.00005,1657.93,9.8677
PI531084,-12.1135,-12.2607,0.09708,-24.5214,-3498.23,-474525,0.001066,-13079,-40.251
PI531085,-19.195,-4.4682,-0.1218,-8.9363,-2796.38,-325441,-0.00027,-9166.88,-40.8623
PI539930,-17.3823,-2.5271,-0.1138,-5.0542,-2489.78,-288803,-0.00031,-7778.65,-34.6846
PI540745,6.4349,2.52,0.01523,5.04,994.55,93672,-0.00012,3335.96,14.997
PI540747,26.3001,-9.2217,0.3771,-18.4435,-52.0392,-201525,0.00181,-2460.56,39.4711
PI543916,-27.1055,-8.4115,-0.1342,-16.823,-4188.95,-484499,-0.00006,-13954,-59.9076
PI546482,-6.1833,-3.8655,0.003796,-7.731,-1518.39,-219252,0.000159,-5524.76,-17.4702
PI546483,-4.1734,2.175,-0.07156,4.3499,-211.56,-19996,-0.0004,-242.02,-5.104
PI547088,24.0258,4.4511,0.1706,8.9022,3093.05,319252,0.000396,10127,50.7754
PI547090,-22.7835,1.165,-0.2272,2.33,-2410.13,-230726,-0.00089,-6528.89,-38.549
PI548830,19.337,-4.0457,0.2796,-8.0915,936.9,-14667,0.001341,1709.8,30.5213
PI550440,-28.8343,-10.0779,-0.1337,-20.1559,-4499.51,-518972,0.000021,-15311,-66.1554
PI550441,13.467,13.1522,-0.06428,26.3043,4604.96,744168,-0.00058,17289,44.6411
PI550454,3.4556,3.8426,-0.02611,7.6851,1240.9,168737,-0.0002,4655.37,12.8424
PI550461,-25.9504,-7.6319,-0.1301,-15.2638,-3977.19,-455311,-0.00014,-13341,-58.3658
PI550465,-9.2884,-10.8826,0.1209,-21.7652,-3164.85,-420233,0.001124,-11790,-33.7921
PI550467,-3.9236,5.9532,-0.1261,11.9065,523.66,116986,-0.00076,2968.56,1.1081
PI550469,-1.0301,-4.56,0.055,-9.1201,-1126.83,-190952,0.00033,-4660.74,-9.7409
PI550472,-25.7697,-12.7068,-0.04257,-25.4137,-4620.37,-551931,0.000667,-16207,-64.4486
PI550473,16.8976,7.7345,0.01998,15.4691,3504.35,451169,-0.00024,12148,42.7816
PI550483,-18.7584,2.2023,-0.1948,4.4045,-1758.24,-148629,-0.00079,-4401.83,-30.2358
PI550490,51.0482,14.1894,0.09123,28.3788,11780,1680737,-0.00018,38835,123.61
PI550518,-12.6464,1.611,-0.1429,3.222,-1218.06,-114295,-0.00063,-3185.46,-20.8151
PI550522,-15.2907,7.7903,-0.1855,15.5806,-592.51,47168,-0.00075,1071.88,-14.1829
PI550555,-13.2963,-4.0222,-0.0474,-8.0443,-2335.2,-287239,-0.00000279,-7895.1,-31.3768
PI550558,-4.4612,-4.9698,0.03393,-9.9395,-1622.19,-249104,0.000275,-6226.33,-16.7637
PI550566,8.4663,9.474,-0.06347,18.948,2673.46,406398,-0.00066,10121,27.921
PI555462,3.8344,9.3182,-0.09147,18.6364,2032.35,321423,-0.00068,8447,20.7301
PI558520,3.8299,2.5734,-0.01922,5.1468,984.37,134026,-0.00027,3301.22,9.5804
PI558532,-25.7195,-1.6201,-0.1884,-3.2403,-3224.49,-330732,-0.00053,-9369.25,-47.8005
PI559382,24.9521,4.2293,0.1263,8.4586,3657.5,392754,0.00011,11325,50.8988
PI559916,57.1045,13.4454,0.2075,26.8908,10617,1428827,-0.00004,34261,123.87
PI559917,-2.9853,9.002,-0.1388,18.004,1292.25,274403,-0.00078,6365.45,7.9261
PI559918,0.05796,-2.52,0.03204,-5.0401,-558.63,-116806,0.000159,-2412.82,-3.7712
PI559920,-2.9282,3.0427,-0.08393,6.0854,147.2,32750,-0.00053,1152.07,-0.4775
PI559954,-12.1749,-3.2712,-0.05257,-6.5423,-2039.55,-252284,0.000006728,-6612.39,-25.8471
PI560316,30.522,0.1557,0.2696,0.3115,3292.27,288630,0.000863,9374.18,55.7294
PI564682,-18.8998,-0.2114,-0.1551,-0.4227,-2302.63,-244074,-0.00053,-6472.07,-33.3752
PI564749,5.2969,2.4559,0.03658,4.9119,642.89,56352,0.000072,2468.43,13.5241
PI564754,9.3569,1.8692,0.05028,3.7383,1280.75,127038,0.000014,3906.72,18.5031
PI564755,4.2932,5.1909,-0.04461,10.3818,1444.49,206191,-0.00041,5384.51,14.7978
PI566938,-6.2811,-2.6374,-0.00168,-5.2747,-1360.12,-184965,0.00017,-4525.42,-14.9594
PI573098,25.545,6.0941,0.1548,12.1882,3759.86,440039,0.000278,12439,54.9964
PI574393,10.1689,5.0379,0.01463,10.0758,1849.98,215833,-0.00025,6421.69,24.9975
PI583350,-1.2084,-3.2589,0.06012,-6.5179,-1060.38,-180737,0.000418,-3926.77,-6.6211
PI583351,-16.3558,-0.296,-0.1201,-0.592,-2006.53,-206218,-0.00038,-5837.81,-30.592
PI583352,-9.181,-0.5851,-0.07522,-1.1702,-1252.4,-154361,-0.00029,-3922.4,-18.0485
PI583774,-8.0146,6.4754,-0.1282,12.9507,142.96,102097,-0.00058,2441.63,-4.4796
PI587124,4.0657,1.0007,0.008513,2.0014,545.95,37131,-0.00013,1553.82,7.9109
PI587127,8.332,-4.0574,0.1268,-8.1149,-120.03,-107822,0.000549,-1618.8,9.0488
PI587128,-16.1683,1.2803,-0.1423,2.5606,-1621.79,-138716,-0.00052,-4152.41,-26.8819
PI587129,20.7991,-0.4989,0.2066,-0.9977,1888.61,132483,0.000783,5268.6,38.0639
PI587130,-17.7571,-1.6444,-0.09635,-3.2888,-2410.42,-242678,-0.00025,-7353.81,-36.7234
PI587131,-20.1751,-6.7968,-0.08362,-13.5936,-3282.74,-384281,0.000012,-11166,-46.9367
PI587132,8.8854,2.057,0.06161,4.1139,1304.49,153855,0.000194,4204.3,18.3407
