p1	p2	genotype
SAM11	SAM40	SAM11xSAM40
SAM11	SAM41	SAM11xSAM41
SAM11	SAM43	SAM11xSAM43
SAM11	SAM45	SAM11xSAM45
SAM11	SAM46	SAM11xSAM46
SAM11	SAM47	SAM11xSAM47
SAM11	SAM49	SAM11xSAM49
SAM11	SAM51	SAM11xSAM51
SAM11	SAM52	SAM11xSAM52
SAM11	SAM53	SAM11xSAM53
SAM11	SAM54	SAM11xSAM54
SAM11	SAM55	SAM11xSAM55
SAM11	SAM56	SAM11xSAM56
SAM11	SAM57	SAM11xSAM57
SAM11	SAM58	SAM11xSAM58
SAM11	SAM59	SAM11xSAM59
SAM12	SAM14	SAM12xSAM14
SAM12	SAM15	SAM12xSAM15
SAM12	SAM17	SAM12xSAM17
SAM12	SAM18	SAM12xSAM18
SAM12	SAM19	SAM12xSAM19
SAM12	SAM20	SAM12xSAM20
SAM12	SAM21	SAM12xSAM21
SAM12	SAM24	SAM12xSAM24
SAM12	SAM25	SAM12xSAM25
SAM12	SAM26	SAM12xSAM26
SAM12	SAM28	SAM12xSAM28
SAM12	SAM29	SAM12xSAM29
SAM12	SAM30	SAM12xSAM30
SAM12	SAM35	SAM12xSAM35
SAM12	SAM36	SAM12xSAM36
SAM12	SAM37	SAM12xSAM37
SAM12	SAM38	SAM12xSAM38
SAM12	SAM39	SAM12xSAM39
SAM12	SAM40	SAM12xSAM40
SAM12	SAM41	SAM12xSAM41
SAM12	SAM43	SAM12xSAM43
SAM12	SAM45	SAM12xSAM45
SAM12	SAM46	SAM12xSAM46
SAM12	SAM47	SAM12xSAM47
SAM12	SAM49	SAM12xSAM49
SAM12	SAM51	SAM12xSAM51
SAM12	SAM52	SAM12xSAM52
SAM12	SAM53	SAM12xSAM53
SAM12	SAM54	SAM12xSAM54
SAM12	SAM55	SAM12xSAM55
SAM12	SAM56	SAM12xSAM56
SAM12	SAM57	SAM12xSAM57
SAM12	SAM58	SAM12xSAM58
SAM12	SAM59	SAM12xSAM59
SAM14	SAM15	SAM14xSAM15
SAM14	SAM17	SAM14xSAM17
SAM14	SAM18	SAM14xSAM18
SAM14	SAM19	SAM14xSAM19
SAM14	SAM20	SAM14xSAM20
SAM14	SAM21	SAM14xSAM21
SAM14	SAM24	SAM14xSAM24
SAM14	SAM25	SAM14xSAM25
SAM14	SAM26	SAM14xSAM26
SAM14	SAM28	SAM14xSAM28
SAM14	SAM29	SAM14xSAM29
SAM14	SAM30	SAM14xSAM30
SAM14	SAM35	SAM14xSAM35
SAM14	SAM36	SAM14xSAM36
SAM14	SAM37	SAM14xSAM37
SAM14	SAM38	SAM14xSAM38
SAM14	SAM39	SAM14xSAM39
SAM14	SAM40	SAM14xSAM40
SAM14	SAM41	SAM14xSAM41
SAM14	SAM43	SAM14xSAM43
SAM14	SAM45	SAM14xSAM45
SAM14	SAM46	SAM14xSAM46
SAM14	SAM47	SAM14xSAM47
SAM14	SAM49	SAM14xSAM49
SAM14	SAM51	SAM14xSAM51
SAM14	SAM52	SAM14xSAM52
SAM14	SAM53	SAM14xSAM53
SAM14	SAM54	SAM14xSAM54
SAM14	SAM55	SAM14xSAM55
SAM14	SAM56	SAM14xSAM56
SAM14	SAM57	SAM14xSAM57
SAM14	SAM58	SAM14xSAM58
SAM14	SAM59	SAM14xSAM59
SAM15	SAM17	SAM15xSAM17
SAM15	SAM18	SAM15xSAM18
SAM15	SAM19	SAM15xSAM19
