Genotype,gHat,log2vol,Fix,P1,P2
SAM348xSAM353,19.9425733125,-9,1,SAM348,SAM353
SAM348xSAM365,19.9426211899,-9,1,SAM348,SAM365
SAM363xSAM373,19.9436038247,-9,1,SAM363,SAM373
SAM348xSAM373,19.9436917266,-9,1,SAM348,SAM373
SAM363xSAM369,19.9437365269,-9,1,SAM363,SAM369
SAM341xSAM362,19.9437449722,-9,1,SAM341,SAM362
SAM348xSAM369,19.9438250398,-9,1,SAM348,SAM369
SAM364xSAM381,19.9440114273,-9,1,SAM364,SAM381
SAM343xSAM356,19.9444438515,-9,1,SAM343,SAM356
SAM337xSAM353,19.94449158,-9,1,SAM337,SAM353
SAM337xSAM365,19.9445401503,-9,1,SAM337,SAM365
SAM334xSAM377,19.9449610913,-9,1,SAM334,SAM377
SAM350xSAM378,19.9450314602,-9,1,SAM350,SAM378
SAM337xSAM373,19.9456105249,-9,1,SAM337,SAM373
SAM333xSAM378,19.945722008,-9,1,SAM333,SAM378
SAM337xSAM369,19.9457435122,-9,1,SAM337,SAM369
SAM350xSAM367,19.9459747223,-9,1,SAM350,SAM367
SAM329xSAM362,19.9460594354,-9,1,SAM329,SAM362
SAM358xSAM363,19.9463148432,-9,1,SAM358,SAM363
SAM348xSAM358,19.9464030823,-9,1,SAM348,SAM358
SAM356xSAM364,19.9464300795,-9,1,SAM356,SAM364
SAM333xSAM367,19.9466658326,-9,1,SAM333,SAM367
SAM336xSAM381,19.9469472168,-9,1,SAM336,SAM381
SAM347xSAM362,19.9475490002,-9,1,SAM347,SAM362
SAM360xSAM372,19.9476690943,-9,1,SAM360,SAM372
SAM354xSAM372,19.9482072534,-9,1,SAM354,SAM372
SAM337xSAM358,19.9483217279,-9,1,SAM337,SAM358
SAM353xSAM374,19.9486293493,-9,1,SAM353,SAM374
SAM365xSAM374,19.9486777445,-9,1,SAM365,SAM374
SAM372xSAM379,19.9490745289,-9,1,SAM372,SAM379
SAM336xSAM356,19.94936515,-9,1,SAM336,SAM356
SAM350xSAM352,19.949610669,-9,1,SAM350,SAM352
SAM373xSAM374,19.949748311,-9,1,SAM373,SAM374
SAM369xSAM374,19.949880747,-9,1,SAM369,SAM374
SAM344xSAM353,19.9499147682,-9,1,SAM344,SAM353
SAM344xSAM365,19.9499634819,-9,1,SAM344,SAM365
SAM333xSAM352,19.9503016768,-9,1,SAM333,SAM352
SAM339xSAM372,19.9503373614,-9,1,SAM339,SAM372
SAM344xSAM373,19.9510337318,-9,1,SAM344,SAM373
SAM344xSAM369,19.9511666054,-9,1,SAM344,SAM369
SAM332xSAM353,19.9513338542,-9,1,SAM332,SAM353
SAM332xSAM365,19.9513823556,-9,1,SAM332,SAM365
SAM331xSAM362,19.9519083517,-9,1,SAM331,SAM362
SAM341xSAM377,19.9520167446,-9,1,SAM341,SAM377
SAM334xSAM378,19.9521911571,-9,1,SAM334,SAM378
SAM332xSAM373,19.9524527209,-9,1,SAM332,SAM373
SAM358xSAM374,19.9524590558,-9,1,SAM358,SAM374
SAM332xSAM369,19.9525854027,-9,1,SAM332,SAM369
SAM370xSAM382,19.9530876501,-9,1,SAM370,SAM382
SAM334xSAM367,19.9531350004,-9,1,SAM334,SAM367
SAM344xSAM358,19.9537447075,-9,1,SAM344,SAM358
SAM353xSAM355,19.9538308604,-9,1,SAM353,SAM355
SAM355xSAM365,19.9538789204,-9,1,SAM355,SAM365
SAM349xSAM353,19.9542097056,-9,1,SAM349,SAM353
SAM349xSAM365,19.954257909,-9,1,SAM349,SAM365
SAM329xSAM377,19.9543315767,-9,1,SAM329,SAM377
SAM355xSAM373,19.9549496079,-9,1,SAM355,SAM373
SAM355xSAM369,19.955082286,-9,1,SAM355,SAM369
SAM363xSAM372,19.9551594535,-9,1,SAM363,SAM372
SAM332xSAM358,19.9551636184,-9,1,SAM332,SAM358
SAM348xSAM372,19.9552479981,-9,1,SAM348,SAM372
SAM349xSAM373,19.955328509,-9,1,SAM349,SAM373
SAM349xSAM369,19.9554611145,-9,1,SAM349,SAM369
SAM347xSAM377,19.9558206534,-9,1,SAM347,SAM377
SAM350xSAM381,19.9559868312,-9,1,SAM350,SAM381
SAM360xSAM361,19.9561001191,-9,1,SAM360,SAM361
SAM351xSAM353,19.9566145463,-9,1,SAM351,SAM353
SAM354xSAM361,19.956638092,-9,1,SAM354,SAM361
SAM351xSAM365,19.9566623492,-9,1,SAM351,SAM365
SAM333xSAM381,19.9566776546,-9,1,SAM333,SAM381
SAM334xSAM352,19.9567706043,-9,1,SAM334,SAM352
SAM337xSAM372,19.957166476,-9,1,SAM337,SAM372
SAM361xSAM379,19.9575053824,-9,1,SAM361,SAM379
SAM355xSAM358,19.9576603918,-9,1,SAM355,SAM358
SAM351xSAM373,19.9577333553,-9,1,SAM351,SAM373
SAM351xSAM369,19.9578658415,-9,1,SAM351,SAM369
SAM349xSAM358,19.958039291,-9,1,SAM349,SAM358
SAM350xSAM356,19.9584051108,-9,1,SAM350,SAM356
SAM339xSAM361,19.9587684421,-9,1,SAM339,SAM361
SAM333xSAM356,19.9590961224,-9,1,SAM333,SAM356
SAM341xSAM378,19.959246693,-9,1,SAM341,SAM378
SAM331xSAM377,19.9601799285,-9,1,SAM331,SAM377
SAM341xSAM367,19.9601902792,-9,1,SAM341,SAM367
