Genotype,gHat,log2vol,Fix,P1,P2
SAM17xSAM51,19.92687086,-9,1,SAM17,SAM51
SAM15xSAM38,19.9271542577,-9,1,SAM15,SAM38
SAM7xSAM24,19.9279921649,-9,1,SAM7,SAM24
SAM2xSAM47,19.9280699825,-9,1,SAM2,SAM47
SAM21xSAM39,19.9282400122,-9,1,SAM21,SAM39
SAM12xSAM57,19.9292186422,-9,1,SAM12,SAM57
SAM43xSAM58,19.9293171948,-9,1,SAM43,SAM58
SAM25xSAM38,19.9294113105,-9,1,SAM25,SAM38
SAM52xSAM54,19.9294831155,-9,1,SAM52,SAM54
SAM14xSAM53,19.9295003785,-9,1,SAM14,SAM53
SAM24xSAM56,19.9295377916,-9,1,SAM24,SAM56
SAM14xSAM36,19.9295898376,-9,1,SAM14,SAM36
SAM29xSAM51,19.9305582306,-9,1,SAM29,SAM51
SAM8xSAM49,19.9306678137,-9,1,SAM8,SAM49
SAM14xSAM45,19.9310710652,-9,1,SAM14,SAM45
SAM7xSAM19,19.93108749,-9,1,SAM7,SAM19
SAM14xSAM30,19.9311193673,-9,1,SAM14,SAM30
SAM28xSAM39,19.9316833539,-9,1,SAM28,SAM39
SAM10xSAM20,19.9318363292,-9,1,SAM10,SAM20
SAM36xSAM53,19.9322951993,-9,1,SAM36,SAM53
SAM19xSAM56,19.9326318575,-9,1,SAM19,SAM56
SAM17xSAM20,19.9331798887,-9,1,SAM17,SAM20
SAM26xSAM51,19.9332886411,-9,1,SAM26,SAM51
SAM43xSAM55,19.9337278864,-9,1,SAM43,SAM55
SAM45xSAM53,19.933775652,-9,1,SAM45,SAM53
SAM30xSAM53,19.9338251537,-9,1,SAM30,SAM53
SAM36xSAM45,19.9338653309,-9,1,SAM36,SAM45
SAM30xSAM36,19.9339145718,-9,1,SAM30,SAM36
SAM7xSAM37,19.9340931362,-9,1,SAM7,SAM37
SAM40xSAM43,19.9350910036,-9,1,SAM40,SAM43
SAM30xSAM45,19.9353943465,-9,1,SAM30,SAM45
SAM37xSAM56,19.9356381891,-9,1,SAM37,SAM56
SAM43xSAM59,19.9356561376,-9,1,SAM43,SAM59
SAM1xSAM47,19.9365966877,-9,1,SAM1,SAM47
SAM20xSAM29,19.9368678404,-9,1,SAM20,SAM29
SAM11xSAM51,19.9377657397,-9,1,SAM11,SAM51
SAM46xSAM52,19.9384818187,-9,1,SAM46,SAM52
SAM9xSAM51,19.9387794284,-9,1,SAM9,SAM51
SAM14xSAM35,19.9390532931,-9,1,SAM14,SAM35
SAM7xSAM8,19.9392373262,-9,1,SAM7,SAM8
SAM24xSAM54,19.9393139778,-9,1,SAM24,SAM54
SAM20xSAM26,19.9395979827,-9,1,SAM20,SAM26
SAM8xSAM56,19.9407824537,-9,1,SAM8,SAM56
