p1	p2	genotype
SAM336	SAM360	SAM336xSAM360
SAM336	SAM361	SAM336xSAM361
SAM336	SAM362	SAM336xSAM362
SAM336	SAM363	SAM336xSAM363
SAM336	SAM364	SAM336xSAM364
SAM336	SAM365	SAM336xSAM365
SAM336	SAM366	SAM336xSAM366
SAM336	SAM367	SAM336xSAM367
SAM336	SAM369	SAM336xSAM369
SAM336	SAM370	SAM336xSAM370
SAM336	SAM372	SAM336xSAM372
SAM336	SAM373	SAM336xSAM373
SAM336	SAM374	SAM336xSAM374
SAM336	SAM375	SAM336xSAM375
SAM336	SAM377	SAM336xSAM377
SAM336	SAM378	SAM336xSAM378
SAM336	SAM379	SAM336xSAM379
SAM336	SAM380	SAM336xSAM380
SAM336	SAM381	SAM336xSAM381
SAM336	SAM382	SAM336xSAM382
SAM337	SAM339	SAM337xSAM339
SAM337	SAM341	SAM337xSAM341
SAM337	SAM343	SAM337xSAM343
SAM337	SAM344	SAM337xSAM344
SAM337	SAM347	SAM337xSAM347
SAM337	SAM348	SAM337xSAM348
SAM337	SAM349	SAM337xSAM349
SAM337	SAM350	SAM337xSAM350
SAM337	SAM351	SAM337xSAM351
SAM337	SAM352	SAM337xSAM352
SAM337	SAM353	SAM337xSAM353
SAM337	SAM354	SAM337xSAM354
SAM337	SAM355	SAM337xSAM355
SAM337	SAM356	SAM337xSAM356
SAM337	SAM357	SAM337xSAM357
SAM337	SAM358	SAM337xSAM358
SAM337	SAM360	SAM337xSAM360
SAM337	SAM361	SAM337xSAM361
SAM337	SAM362	SAM337xSAM362
SAM337	SAM363	SAM337xSAM363
SAM337	SAM364	SAM337xSAM364
SAM337	SAM365	SAM337xSAM365
SAM337	SAM366	SAM337xSAM366
SAM337	SAM367	SAM337xSAM367
SAM337	SAM369	SAM337xSAM369
SAM337	SAM370	SAM337xSAM370
SAM337	SAM372	SAM337xSAM372
SAM337	SAM373	SAM337xSAM373
SAM337	SAM374	SAM337xSAM374
SAM337	SAM375	SAM337xSAM375
SAM337	SAM377	SAM337xSAM377
SAM337	SAM378	SAM337xSAM378
SAM337	SAM379	SAM337xSAM379
SAM337	SAM380	SAM337xSAM380
SAM337	SAM381	SAM337xSAM381
SAM337	SAM382	SAM337xSAM382
SAM339	SAM341	SAM339xSAM341
SAM339	SAM343	SAM339xSAM343
SAM339	SAM344	SAM339xSAM344
